,artist_id,artist_name,artist_url,album_id,album_name,album_release_date,album_total_tracks,album_url,track_id,track_name,track_length,played_at,extracted_at
25,3PsElXP6TTwUalgNPiyyzH,FREJA,https://open.spotify.com/artist/3PsElXP6TTwUalgNPiyyzH,66Hlh8PrfWYt81ZZsZoL3N,minnen,2021-04-16,1,https://open.spotify.com/album/66Hlh8PrfWYt81ZZsZoL3N,09EA7muQkLpLQRFUcEBtK1,minnen,158181,2024-07-12T21:26:40.021Z,12/07/2024 21:44:54
26,6k0mhNZbwZiBIXcihGHwn9,Chillide,https://open.spotify.com/artist/6k0mhNZbwZiBIXcihGHwn9,7yNwWw24BP1Sr2T2yw9BBa,Stockholm,2021-10-22,1,https://open.spotify.com/album/7yNwWw24BP1Sr2T2yw9BBa,5nRHqipQw774uJ6y3KmECc,Stockholm,96000,2024-07-12T21:24:29.820Z,12/07/2024 21:44:54
27,5JqlGSeCW5ifXQriLDHTwe,Zatsuma,https://open.spotify.com/artist/5JqlGSeCW5ifXQriLDHTwe,6NZoyh9sgrsnBezKv0rF5J,burgundy,2024-02-23,1,https://open.spotify.com/album/6NZoyh9sgrsnBezKv0rF5J,6S1YJasKYbX3sR8J5jltjY,burgundy,151578,2024-07-12T21:23:06.145Z,12/07/2024 21:44:54
28,67dt5GuTNqsdlSfaTDky4S,Anthony Smith,https://open.spotify.com/artist/67dt5GuTNqsdlSfaTDky4S,4i7PFRW6S4g44lgqL0Qk8c,Sunrise Over Seattle,2023-12-01,1,https://open.spotify.com/album/4i7PFRW6S4g44lgqL0Qk8c,3athjQzCfwoqj5xv8Qd8hy,Sunrise Over Seattle,151578,2024-07-12T21:20:50.549Z,12/07/2024 21:44:54
29,4UtJ3cnpM9ptMHY6LSfMUs,7th Realm,https://open.spotify.com/artist/4UtJ3cnpM9ptMHY6LSfMUs,4rqsMKNsFZOgf2QRgeaLPN,Early rise,2024-06-28,1,https://open.spotify.com/album/4rqsMKNsFZOgf2QRgeaLPN,0Xc8uXfsxcNMj2y1IKwo2T,Early rise,106697,2024-07-12T21:18:49.329Z,12/07/2024 21:44:54
30,2ExRfiZkCF0b2AR8vdCqk8,High Low Row,https://open.spotify.com/artist/2ExRfiZkCF0b2AR8vdCqk8,7GISc4x59WUJlbOapq2IHK,Mangos,2021-10-25,3,https://open.spotify.com/album/7GISc4x59WUJlbOapq2IHK,19Lkk1hRKKOwE4qTOL36nf,Mangos,218171,2024-07-12T21:17:23.537Z,12/07/2024 21:44:54
31,6n2kivcHpNhuk2kQICjkBZ,rec.memos,https://open.spotify.com/artist/6n2kivcHpNhuk2kQICjkBZ,7LKwn7YZmvlrtABV6oNOHu,Fixed Emotions,2021-08-19,1,https://open.spotify.com/album/7LKwn7YZmvlrtABV6oNOHu,7zqjFQqv1FEAv8nlEYLVoR,Fixed Emotions,158158,2024-07-12T21:14:35.419Z,12/07/2024 21:44:54
32,1grsC7ugHHrEGvwQI4o0OT,Fulton St Brunch Club,https://open.spotify.com/artist/1grsC7ugHHrEGvwQI4o0OT,5F9VAT5LKQLCH8wbFEpkN0,Jump,2024-02-13,1,https://open.spotify.com/album/5F9VAT5LKQLCH8wbFEpkN0,76EduFgahFwWNCpyfRNcB0,Jump,125333,2024-07-12T21:12:11.657Z,12/07/2024 21:44:54
33,5CBZsBU3HohXRlymLEIubg,Simis Cartwright,https://open.spotify.com/artist/5CBZsBU3HohXRlymLEIubg,3f8kwCuIcf4XEwT5ZPh63E,Mystery Manor,2024-03-08,1,https://open.spotify.com/album/3f8kwCuIcf4XEwT5ZPh63E,6irOnKwOjYJFCvtCHG1RQC,Mystery Manor,120901,2024-07-12T21:10:25.420Z,12/07/2024 21:44:54
34,2MGL4XU2LCJC47c7VvSwuE,Jobii,https://open.spotify.com/artist/2MGL4XU2LCJC47c7VvSwuE,1JjljDOBIiFcWw7j3Qrxcw,Llama Drama,2021-10-08,3,https://open.spotify.com/album/1JjljDOBIiFcWw7j3Qrxcw,6xCoZQNLgnJTYuOxbYlqC5,Plump,129121,2024-07-12T21:08:39.395Z,12/07/2024 21:44:54
